date,pump_id,mean_oil_temp,max_oil_temp,mean_bearing_temp,mean_vibration,max_vibration,mean_power,mean_deltaP,mean_oil_pressure,operating_hours,TAN,water_pct,impurities_pct,flash_point_C,is_synthetic
2022-07-26,1,123.55,134.47,135.31,1.189,1.759,41.77,1.329,0.322,4153.0,0.0298,0.0639,0.0609,199.75,True
2022-10-25,1,123.16,133.6,134.41,1.186,1.672,43.47,1.239,0.311,8211.0,0.0375,0.0824,0.096,201.04,True
2023-01-24,1,124.3,132.79,137.12,1.388,2.011,40.78,1.26,0.281,12278.0,0.0466,0.095,0.1436,194.64,True
2023-04-25,1,122.92,134.24,134.04,1.152,1.686,42.32,1.231,0.3,16539.0,0.0574,0.1013,0.1769,199.34,True
2023-07-25,1,122.08,131.33,134.89,1.265,1.768,43.36,1.246,0.325,20775.0,0.0648,0.1013,0.2211,187.08,True
2023-10-24,1,125.23,133.33,138.28,1.186,1.723,41.78,1.268,0.332,24923.0,0.072,0.1002,0.2604,195.12,True
2024-01-23,1,125.35,136.58,136.64,1.397,2.192,41.67,1.23,0.288,29153.0,0.0813,0.1023,0.307,190.52,True
2024-04-23,1,122.8,134.57,132.77,1.357,2.051,42.26,1.246,0.281,33350.0,0.0902,0.1094,0.3529,185.71,True
2024-07-23,1,124.51,133.46,137.92,1.42,2.156,40.6,1.279,0.343,37451.0,0.0978,0.1058,0.3985,184.79,True
2024-10-22,1,124.71,135.47,136.55,1.43,1.918,41.22,1.234,0.322,41528.0,0.1071,0.1077,0.4451,188.32,True
2025-01-21,1,123.34,134.25,135.6,1.294,2.031,42.35,1.216,0.313,45757.0,0.1144,0.1106,0.4855,181.36,True
2025-04-22,1,125.18,134.48,138.45,1.482,2.304,42.82,1.345,0.306,49882.0,0.1214,0.1049,0.5381,185.81,True
2025-07-22,1,122.82,133.13,135.45,1.556,2.253,41.14,1.196,0.317,54060.0,0.1315,0.1038,0.5952,180.05,True
2025-10-21,1,125.28,133.96,137.38,1.517,2.289,41.12,1.258,0.311,58145.0,0.1411,0.1047,0.6498,176.6,True
2026-01-20,1,125.97,137.44,138.49,1.521,2.394,45.85,1.279,0.327,62441.0,0.1512,0.1039,0.7046,175.99,True
2026-04-21,1,124.12,133.99,136.48,1.357,2.005,41.53,1.304,0.311,66533.0,0.1585,0.1056,0.7493,173.89,True
2026-07-21,1,126.02,136.92,135.99,1.571,2.502,42.19,1.217,0.323,70654.0,0.1671,0.1058,0.8067,172.68,True
2026-10-20,1,123.02,133.22,136.29,1.616,2.236,44.12,1.302,0.287,74805.0,0.1784,0.1008,0.866,172.08,True
2027-01-19,1,120.34,129.03,133.97,1.478,2.114,40.57,1.228,0.312,79149.0,0.1841,0.1036,0.9157,171.49,True
2027-04-20,1,123.1,131.21,135.23,1.632,2.403,43.59,1.188,0.342,83154.0,0.1926,0.1046,0.9752,167.64,True
